,resource,type,resource_attributes,ts,values
327835,5.948095306408936e+17,process,"[root, , kworker/11:1H-events_highpri, , linux, 2, , param-workhorse, param-workhorse, 191]",1714642171000,"[0.0, 0.0015718377697697672, 0.043333333333333335, 0.0, 0.0, 0.0]"
327836,5.948095306408936e+17,process,"[param-workhorse, linux, 191, 2, kworker/11:1H-events_highpri, , , root, param-workhorse, ]",1714642176000,"[0.0, 0.0015708888140393178, 0.043333333333333335, 0.0, 0.0, 0.0]"
327837,5.948095306408936e+17,process,"[root, linux, kworker/11:1H-events_highpri, , 2, 191, , , param-workhorse, param-workhorse]",1714642181000,"[0.0, 0.0015699372217559482, 0.043333333333333335, 0.0, 0.0, 0.0]"
327838,5.948095306408936e+17,process,"[kworker/11:1H-events_highpri, param-workhorse, , param-workhorse, 191, , , root, 2, linux]",1714642186000,"[0.0, 0.0015689894659444573, 0.043333333333333335, 0.0, 0.0, 0.0]"
327839,5.948095306408936e+17,process,"[, , linux, , root, param-workhorse, kworker/11:1H-events_highpri, 191, 2, param-workhorse]",1714642191000,"[0.043333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0015680437042782727]"
327840,5.948095306408936e+17,process,"[, 191, param-workhorse, linux, param-workhorse, , 2, kworker/11:1H-events_highpri, , root]",1714642196000,"[0.0, 0.0, 0.001567096846106806, 0.043333333333333335, 0.0, 0.0]"
327841,5.948095306408936e+17,process,"[param-workhorse, , linux, param-workhorse, root, , , kworker/11:1H-events_highpri, 191, 2]",1714642201000,"[0.0, 0.0, 0.0015661524551536827, 0.043333333333333335, 0.0, 0.0]"
327842,5.948095306408936e+17,process,"[kworker/11:1H-events_highpri, linux, 191, root, , , param-workhorse, 2, , param-workhorse]",1714642206000,"[0.0, 0.0, 0.0015652105905788068, 0.043333333333333335, 0.0, 0.0]"
327843,5.948095306408936e+17,process,"[kworker/11:1H-kblockd, root, linux, param-workhorse, 2, , , param-workhorse, , 191]",1714642211000,"[0.0, 0.0, 0.001564270277148735, 0.043333333333333335, 0.0, 0.0]"
327844,5.948095306408936e+17,process,"[kworker/11:1H-kblockd, , , 191, , param-workhorse, linux, root, param-workhorse, 2]",1714642216000,"[0.0, 0.0, 0.0015633326305044752, 0.043333333333333335, 0.0, 0.0]"
327845,5.948095306408936e+17,process,"[linux, 2, , root, 191, kworker/11:1H-events_highpri, , , param-workhorse, param-workhorse]",1714642221000,"[0.0, 0.0, 0.0015623882337049608, 0.043333333333333335, 0.0, 0.0]"
